fault_id|spn|fmi|oem_make|oem_code|controller|short_description|fault_family|detailed_technical_explanation|source_id|source_url|source_page|source_doc
2991|160|8|Eaton|370|Transmission|Transmission countershaft speed signal frequency, pulse width or period abnormal|hdt_countershaft_speed_sensor|SPN 160 (Transmission countershaft speed) with FMI 8 (Wrong frequency, pulse width or period) is set by the Transmission when the countershaft speed sensor signal is erratic, out of frequency, drifting, below its plausible range, or reads an open/shorted circuit. This sensor is used for clutchless shift timing and synchronizer protection.|eaton_trts0950|https://productinfo.serviceranger4.com/books/TRTS0950/lang/en-us/section/TS0950FCIndex|Fault Code 370: Countershaft Speed|TRTS0950 Endurant HD fault code index
3056|188|1|Eaton|180|Transmission|Engine idle speed / configuration message reading below the normal range|hdn_received_engine_data|SPN 188 (Engine idle speed / configuration message) with FMI 1 (Reading in-range but far too low) is set by the Transmission when a value the engine control system broadcasts on J1939 -- engine speed, torque, accelerator pedal position, an idle/torque limit, or an engine configuration message -- stops arriving at the expected rate, fails validation, or is out of the receiving controller's calibrated range. The Transmission only receives this value over the network rather than measuring it directly, so the fault is a link problem until the engine ECU's own diagnostics say otherwise: check the engine ECU for its own active codes and confirm it is still transmitting before assuming the Transmission itself has failed.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 180: Engine Configuration Message|TRTS0960 Endurant XD fault code index
3121|524|12|Eaton|716|Transmission|Transmission selected gear reported by the module as internally defective|hdt_gear_selection_logic|SPN 524 (Transmission selected gear) with FMI 12 (Smart device or component defective) is the TECU's own internal gear and direction tracking logic (current, selected or requested gear, or a commanded-vs-actual direction mismatch) reporting a device fault or failing to update at the expected message rate. This is typically a downstream symptom of an unresolved rail, range or clutch fault elsewhere in the transmission rather than a fault of its own.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 716: Transmission Selected Gear|TRTS0960 Endurant XD fault code index
3186|595|13|Eaton|127|Transmission|Cruise control active status: stored calibration values are out of range|hdn_received_ads_cruise_data|SPN 595 (Cruise control active status) with FMI 13 (Calibration data outside limits) is set by the Transmission when a value from the cruise control or Automated Driving System (ADS) stops arriving at the expected rate or fails validation -- a primary/secondary ADS command, an ADS operation-status report, or a cruise resume/pause command. The Transmission only receives this value over the network rather than generating it directly, so the fault is a link problem until the sending controller's own diagnostics say otherwise: check the ADS/cruise source controller for its own active codes and confirm it is still transmitting before assuming the Transmission itself has failed.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 127: Cruise Control Active|TRTS0960 Endurant XD fault code index
3251|629|19|Eaton|200|Transmission|Engine control unit internal fault flagged as a network reporting error|hdt_tecu_internal|SPN 629 (Engine control unit internal fault) with FMI 19 (Network-received value flagged as error) is an internal TECU self-check or watchdog fault, set when the module's own operation is outside its expected range, timing or state. It is not tied to a single external circuit, so rule out power, ground and network faults first before treating it as a module problem.|eaton_trts0950|https://productinfo.serviceranger4.com/books/TRTS0950/lang/en-us/section/TS0950FCIndex|Fault Code 200: TCM Operation 1|TRTS0950 Endurant HD fault code index
3316|767|5|Eaton|975|Transmission|Transmission reverse gear output circuit open, current too low|hdt_neutral_reverse_output_circuit|SPN 767 (Transmission reverse gear output) with FMI 5 (Current too low; open circuit) is set by the Transmission when the TECU's neutral or reverse output signal (used to drive back-up lights, neutral-safety interlocks or similar chassis functions) reads an open circuit, a short to power or ground, or the TECU cannot confirm the output reached its commanded state.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 975: Reverse Output|TRTS0960 Endurant XD fault code index
3381|787|6|Eaton|570|Transmission|Transmission inertia brake solenoid circuit shorted to ground, current too high|hdt_inertia_brake_solenoid|SPN 787 (Transmission inertia brake solenoid) with FMI 6 (Current too high; short to ground) is set by the Transmission when the driveline inertia brake solenoid, used to slow the countershaft for clutchless upshifts, reads an electrical fault, an out-of-range response, or fails a calibration check.|eaton_trts0950|https://productinfo.serviceranger4.com/books/TRTS0950/lang/en-us/section/TS0950FCIndex|Fault Code 570: Inertia Brake Solenoid (A5)|TRTS0950 Endurant HD fault code index
3446|1321|4|Eaton|120|Transmission|Starter enable relay circuit voltage low (shorted to ground)|hdt_start_enable_relay|SPN 1321 (Starter enable relay circuit) with FMI 4 (Circuit voltage low / short to ground) is set by the Transmission when the TECU-controlled relay that enables engine cranking only in neutral reads an open or shorted drive circuit, or is mechanically stuck.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 120: Start Enable Relay|TRTS0960 Endurant XD fault code index
3511|3452|13|Eaton|900|Transmission|PTO 1 request signal stored calibration values are out of range|hdt_pto_request_switch|SPN 3452 (PTO 1 request signal) with FMI 13 (Calibration data outside limits) is set by the Transmission when the driver's PTO request input (a dash switch or multiplexed request) reads a circuit fault, a calibration issue, or a message that is not arriving at the expected rate.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 900: PTO 1 Request|TRTS0960 Endurant XD fault code index
3576|3457|14|Eaton|915|Transmission|PTO 2 engage signal flagged under a manufacturer-specific fault condition|hdt_pto_engage_solenoid|SPN 3457 (PTO 2 engage signal) with FMI 14 (See manufacturer-specific instructions) is set by the Transmission when the PTO engagement air solenoid reads an electrical fault (open, short, out-of-range) or the PTO fails to mechanically engage as commanded.|eaton_trts0950|https://productinfo.serviceranger4.com/books/TRTS0950/lang/en-us/section/TS0950FCIndex|Fault Code 915: PTO 2 Engage|TRTS0950 Endurant HD fault code index
3641|3651|13|Eaton|122|Transmission|Primary automatic drive selector (ADS) signal stored calibration values are out of range|hdn_received_ads_cruise_data|SPN 3651 (Primary automatic drive selector (ADS) signal) with FMI 13 (Calibration data outside limits) is set by the Transmission when a value from the cruise control or Automated Driving System (ADS) stops arriving at the expected rate or fails validation -- a primary/secondary ADS command, an ADS operation-status report, or a cruise resume/pause command. The Transmission only receives this value over the network rather than generating it directly, so the fault is a link problem until the sending controller's own diagnostics say otherwise: check the ADS/cruise source controller for its own active codes and confirm it is still transmitting before assuming the Transmission itself has failed.|eaton_trts0950|https://productinfo.serviceranger4.com/books/TRTS0950/lang/en-us/section/TS0950FCIndex|Fault Code 122: Primary ADS|TRTS0950 Endurant HD fault code index
3706|3960|4|Eaton|983|Transmission|Auxiliary transmission range switch circuit voltage low (shorted to ground)|hdt_auxiliary_trans_status|SPN 3960 (Auxiliary transmission range switch) with FMI 4 (Circuit voltage low / short to ground) is set by the Transmission when the driver's auxiliary range-select switch reads a circuit fault, a calibration issue, or the TECU's confirmed auxiliary gear status message is not arriving at the expected rate or does not match the commanded range.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 983: Auxiliary Trans Range Switch|TRTS0960 Endurant XD fault code index
3771|4219|1|Eaton|275|Transmission|Shift rail B position sensor reading below the normal range|hdt_rail_position_sensor|SPN 4219 (Shift rail B position sensor) with FMI 1 (Reading in-range but far too low) is set by the Transmission when a shift rail position sensor reads out of range, erratic, drifting, or an open/shorted circuit, so the TECU cannot confirm which rail position (gear) is actually selected.|eaton_trts0950|https://productinfo.serviceranger4.com/books/TRTS0950/lang/en-us/section/TS0950FCIndex|Fault Code 275: Rail B Position|TRTS0950 Endurant HD fault code index
3836|4220|16|Eaton|295|Transmission|Shift rail C position sensor reading moderately above the normal range|hdt_rail_position_sensor|SPN 4220 (Shift rail C position sensor) with FMI 16 (Moderately above normal range) is set by the Transmission when a shift rail position sensor reads out of range, erratic, drifting, or an open/shorted circuit, so the TECU cannot confirm which rail position (gear) is actually selected.|eaton_trts0950|https://productinfo.serviceranger4.com/books/TRTS0950/lang/en-us/section/TS0950FCIndex|Fault Code 295: Rail C Position|TRTS0950 Endurant HD fault code index
3901|5615|4|Eaton|512|Transmission|Clutch engage solenoid 2 circuit voltage low (shorted to ground)|hdt_clutch_engage_release_solenoid|SPN 5615 (Clutch engage solenoid 2) with FMI 4 (Circuit voltage low / short to ground) is set by the Transmission when one of the clutch engage or release solenoids reads an open circuit, a short to power or ground, an out-of-range coil resistance, or fails to respond at the commanded frequency. These solenoids meter shop air to the clutch actuator, so an electrical fault here directly stops clutch engagement or release.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 512: Clutch Engage Solenoid 2 (C3) – Fine Vent|TRTS0960 Endurant XD fault code index
3966|5900|5|Eaton|576|Transmission|Shift rail A, fore solenoid circuit open, current too low|hdt_rail_select_solenoid|SPN 5900 (Shift rail A, fore solenoid) with FMI 5 (Current too low; open circuit) is set by the Transmission when one of the X-Y shift rail fore/aft solenoids reads an electrical fault (open, short, out-of-range) or fails to move the rail as commanded, preventing the TECU from selecting or confirming the requested gear.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 576: Rail A Fore Solenoid (A3)|TRTS0960 Endurant XD fault code index
4031|5903|0|Eaton|636|Transmission|Shift rail D, fore solenoid circuit current above the normal range|hdt_rail_select_solenoid|SPN 5903 (Shift rail D, fore solenoid) with FMI 0 (Reading in-range but far too high) is set by the Transmission when one of the X-Y shift rail fore/aft solenoids reads an electrical fault (open, short, out-of-range) or fails to move the rail as commanded, preventing the TECU from selecting or confirming the requested gear.|eaton_trts0950|https://productinfo.serviceranger4.com/books/TRTS0950/lang/en-us/section/TS0950FCIndex|Fault Code 636: Rail D Fore Solenoid (C2)|TRTS0950 Endurant HD fault code index
4096|5909|31|Eaton|597|Transmission|Shift rail B, aft solenoid logged with no further diagnostic detail available|hdt_rail_select_solenoid|SPN 5909 (Shift rail B, aft solenoid) with FMI 31 (Fault present; no further detail) is set by the Transmission when one of the X-Y shift rail fore/aft solenoids reads an electrical fault (open, short, out-of-range) or fails to move the rail as commanded, preventing the TECU from selecting or confirming the requested gear.|eaton_trts0950|https://productinfo.serviceranger4.com/books/TRTS0950/lang/en-us/section/TS0950FCIndex|Fault Code 597: Rail B Aft Solenoid (A1)|TRTS0950 Endurant HD fault code index
4161|5941|15|Eaton|315|Transmission|Shift rail D position sensor reading slightly above the normal range|hdt_rail_position_sensor|SPN 5941 (Shift rail D position sensor) with FMI 15 (Slightly above normal range) is set by the Transmission when a shift rail position sensor reads out of range, erratic, drifting, or an open/shorted circuit, so the TECU cannot confirm which rail position (gear) is actually selected.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 315: Rail D Position|TRTS0960 Endurant XD fault code index
4226|5954|20|Eaton|788|Transmission|Shift rail D calibration value drifting upward over time|hdt_rail_calibration|SPN 5954 (Shift rail D calibration) with FMI 20 (Value has drifted upward over time) is set by the Transmission when a shift rail's stored calibration end-points have drifted out of limits, or a mechanical condition prevents the rail from completing its calibration stroke.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 788: Rail D Calibration|TRTS0960 Endurant XD fault code index
4291|6146|20|Eaton|760|Transmission|Shift rail C operation status: value drifting upward over time|hdt_rail_operation_fault|SPN 6146 (Shift rail C operation status) with FMI 20 (Value has drifted upward over time) is set by the Transmission when a shift rail does not reach or hold the commanded position within the expected time or range, indicating a mechanical shift-quality problem (binding synchronizer, worn shift fork, low air pressure) rather than a wiring fault.|eaton_trts0950|https://productinfo.serviceranger4.com/books/TRTS0950/lang/en-us/section/TS0950FCIndex|Fault Code 760: Rail C Operation|TRTS0950 Endurant HD fault code index
4356|6160|3|Eaton|977|Transmission|Alternate shift schedule selector circuit voltage high (shorted to supply)|hdt_shift_mode_selector_switch|SPN 6160 (Alternate shift schedule selector) with FMI 3 (Circuit voltage high / short to supply) is set by the Transmission when the dash-mounted switch that selects an alternate shift schedule, secondary operating mode or rail road mode reads an electrical fault (open, short, stuck contact), a calibration outside limits, or the TECU cannot confirm the switch state at the expected message rate.|eaton_trts0950|https://productinfo.serviceranger4.com/books/TRTS0950/lang/en-us/section/TS0950FCIndex|Fault Code 977: Alternate Shift Schedule Selector|TRTS0950 Endurant HD fault code index
4421|7941|13|Eaton|965|Transmission|Rail-road (hi-rail) mode switch stored calibration values are out of range|hdt_shift_mode_selector_switch|SPN 7941 (Rail-road (hi-rail) mode switch) with FMI 13 (Calibration data outside limits) is set by the Transmission when the dash-mounted switch that selects an alternate shift schedule, secondary operating mode or rail road mode reads an electrical fault (open, short, stuck contact), a calibration outside limits, or the TECU cannot confirm the switch state at the expected message rate.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 965: Rail Road Mode Switch|TRTS0960 Endurant XD fault code index
4486|20874|13|Eaton|126|Transmission|Secondary automatic drive selector (ADS) operation status: stored calibration values are out of range|hdn_received_ads_cruise_data|SPN 20874 (Secondary automatic drive selector (ADS) operation status) with FMI 13 (Calibration data outside limits) is set by the Transmission when a value from the cruise control or Automated Driving System (ADS) stops arriving at the expected rate or fails validation -- a primary/secondary ADS command, an ADS operation-status report, or a cruise resume/pause command. The Transmission only receives this value over the network rather than generating it directly, so the fault is a link problem until the sending controller's own diagnostics say otherwise: check the ADS/cruise source controller for its own active codes and confirm it is still transmitting before assuming the Transmission itself has failed.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 126: Secondary ADS Operation Status|TRTS0960 Endurant XD fault code index
4551|105|3|John Deere||Engine ECU|Intake manifold air temperature, shorted to supply (voltage high)|hde_intake_air_temp|SPN 105 (Intake manifold air temperature) with FMI 3 (Circuit voltage high / short to supply) is set by the Engine ECU when the intake or charge-air temperature sensor signal leaves its plausible window or the sensor circuit reads open, shorted or erratic. Typical causes are a failed sensor, corroded connector pins, chafed harness wiring, or a genuine underlying system condition the sensor is correctly reporting.|deere_omrg35856|http://manuals.deere.com/omview/OMRG35856_19/OURGP12,00001FC_19_20100408.html||OMRG35856 PowerTech DTC list
4616|627|18|John Deere||Engine ECU|Controller ignition/battery input voltage, moderately below normal range|hde_battery_voltage|SPN 627 (Controller ignition/battery input voltage) with FMI 18 (Moderately below normal range) is set by the Engine ECU when the battery/system supply voltage reads outside its expected range. Typical causes are a weak/failed battery, a failed alternator, a slipping drive belt, or corroded battery/ground connections.|deere_omh229936|http://manuals.deere.com/omview/OMH229936_19/OUO6075_0000B3D_19_02AUG07_1.htm||OMH229936 9670/9770 STS engine control unit DTCs
4681|653|13|John Deere||Engine ECU|Injector cylinder 3, calibration data invalid|hde_injector_cylinder_circuit|SPN 653 (Injector cylinder 3) with FMI 13 (Calibration data outside limits) is set by the Engine ECU when the fuel injector driver circuit reads an abnormal current, resistance or calibration value. Typical causes are a failed injector coil/solenoid, a chafed or corroded driver circuit, or an injector trim code that was not carried over after replacement.|deere_omh229936|http://manuals.deere.com/omview/OMH229936_19/OUO6075_0000B3D_19_02AUG07_1.htm||OMH229936 9670/9770 STS engine control unit DTCs
4746|1136|0|John Deere||Engine ECU|Engine control unit (ECU) internal temperature, reading far too high (most severe)|hde_ecu_internal|SPN 1136 (Engine control unit (ECU) internal temperature) with FMI 0 (Reading in-range but far too high) is set by the Engine ECU when it detects an internal fault in its own memory, software or supply. Typical causes are a corrupted calibration, a power/ground fault at the ECU connector, or, rarely, a failed ECU that needs dealer replacement and reprogramming.|deere_omrg35856|http://manuals.deere.com/omview/OMRG35856_19/OURGP12,00001FC_19_20100408.html||OMRG35856 PowerTech DTC list
4811|3822|13|John Deere||Engine ECU|EGR valve 2 position sensor, calibration data invalid|hda_egr_valve_actuator|SPN 3822 (EGR valve 2 position sensor) with FMI 13 (Calibration data outside limits) is set by the Engine ECU when the EGR valve actuator will not reach or hold a commanded position, reports an internal fault, loses calibration, or the motor coil circuit is open or shorted. Carbon buildup in the valve bore that increases actuator load is a leading mechanical cause behind an electrical-looking fault.|deere_omh229936|http://manuals.deere.com/omview/OMH229936_19/OUO6075_0000B3D_19_02AUG07_1.htm||OMH229936 9670/9770 STS engine control unit DTCs
4876|2368|6|Navistar||Body controller|Exterior light relay driver circuit is shorted to ground or drawing excess current|hdc_light_relay_driver|SPN 2368 (Parameter 2368 (role not stated by the OEM tables)) with FMI 6 (Current too high; short to ground) is set by the Body controller when the relay driver stage for a lighting circuit does not read the coil current it expects. Typical causes are a failed relay, a corroded relay socket connector, or an open or shorted driver wire between the body controller and the relay coil.|navistar_s08327|http://bodybuilder.navistar.com/General/documents/svcmanpdf/S08327.pdf||S08327 Body Controller Diagnostic Trouble Codes (2010)
4941|4057|5|Navistar||Body controller|Windshield wiper motor circuit is open, no current detected|hdc_wiper_washer_control|SPN 4057 (Windshield wiper motor circuit) with FMI 5 (Current too low; open circuit) is set by the Body controller when the wiper motor output circuit reads open or shorted rather than the expected motor load. Typical causes are a failed or seized wiper motor, binding wiper linkage that overloads the motor, or a corroded connector or damaged wiring between the body controller and the motor.|navistar_s08327|http://bodybuilder.navistar.com/General/documents/svcmanpdf/S08327.pdf||S08327 Body Controller Diagnostic Trouble Codes (2010)
5006|520542|2|Navistar||Body controller|Remote power module 7, channel 2 output does not match the commanded state|hdc_remote_power_module_output|SPN 520542 (Remote power module 7, channel 2 output) with FMI 2 (Signal unstable, intermittent or implausible) is set by the Body controller when a Remote Power Module (RPM) output channel reports a state the ESC does not expect for the load configured on that channel — open, shorted to ground, or not updating. Typical causes are a failed load device, a corroded connector at the RPM or the load, or damaged wiring on that channel's circuit.|navistar_s08327|http://bodybuilder.navistar.com/General/documents/svcmanpdf/S08327.pdf||S08327 Body Controller Diagnostic Trouble Codes (2010)
5071|520674|2|Navistar||Body controller|Body controller switch input circuit is erratic or intermittent|hdc_switch_input_circuit|SPN 520674 (Body controller switch input circuit) with FMI 2 (Signal unstable, intermittent or implausible) is set by the Body controller when a discrete switch input (a clutch, neutral, lock, mode, power, or similar panel or chassis switch) reads a state the ESC considers implausible, or a switch is found stuck in one position against the vehicle's actual operating state. Typical causes are a worn or failed switch, a corroded connector or pin, or an open or shorted signal wire between the switch and the body controller.|navistar_s08327|http://bodybuilder.navistar.com/General/documents/svcmanpdf/S08327.pdf||S08327 Body Controller Diagnostic Trouble Codes (2010)
5136|520816|5|Navistar||Body controller|Dash indicator LED circuit is open, no current detected|hdc_dash_indicator_lamp|SPN 520816 (Dash indicator LED circuit) with FMI 5 (Current too low; open circuit) is set by the Body controller when a dash-mounted indicator or telltale lamp output (wait-to-start, change-oil, filter-restriction, or similar) reads open or shorted rather than the expected bulb or LED load. Typical causes are a failed indicator bulb or LED, a corroded connector behind the dash, or damaged wiring between the body controller and the indicator.|navistar_s08327|http://bodybuilder.navistar.com/General/documents/svcmanpdf/S08327.pdf||S08327 Body Controller Diagnostic Trouble Codes (2010)
5201|172|10|PSI||Engine ECU|Intake air temperature sensor 1 reading out of expected range for conditions|hde_intake_air_temp|SPN 172 (Intake air temperature sensor) with FMI 10 (Value changing implausibly fast or slow) is set by the Engine ECU when the intake or charge-air temperature sensor signal leaves its plausible window or the sensor circuit reads open, shorted or erratic. Typical causes are a failed sensor, corroded connector pins, chafed harness wiring, or a genuine underlying system condition the sensor is correctly reporting.|psi_60l_obdhd|https://dtnacontent-dtna.prd.freightliner.com/content/dam/dtna-servicelit/dtna/pdfs/en_us/fccc/engines/6.0L%20OBD%20MT-88%20HD%20Gasoline%20Diagnostic%20Manual%20(pre-released).pdf|294|PSI 6.0L OBD-HD engine diagnostic manual (FCCC chassis)
5266|1268|4|PSI||Engine ECU|Ignition coil A primary circuit reads low (shorted to ground)|hde_ignition_coil_circuit|SPN 1268 (Ignition coil A primary circuit) with FMI 4 (Circuit voltage low / short to ground) is set by the Engine ECU when the ignition coil circuit or its commanded response is abnormal. Typical causes are a failed coil/solenoid, corroded or chafed wiring, or the actuator mechanically sticking.|psi_60l_obdhd|https://dtnacontent-dtna.prd.freightliner.com/content/dam/dtna-servicelit/dtna/pdfs/en_us/fccc/engines/6.0L%20OBD%20MT-88%20HD%20Gasoline%20Diagnostic%20Manual%20(pre-released).pdf|284|PSI 6.0L OBD-HD engine diagnostic manual (FCCC chassis)
5331|3217|4|PSI||Engine ECU|Oxygen sensor, bank 1 sensor 1, circuit reads low voltage|hda_catalyst_o2_lambda_sensor|SPN 3217 (Oxygen (O2) sensor, bank 1 sensor 1) with FMI 4 (Circuit voltage low / short to ground) is set by the Engine ECU for the lambda (wideband O2) sensor used to trim the aftertreatment/combustion feedback loop, or for a post-catalyst fuel trim that has moved outside its expected band. A lazy or contaminated sensor and an exhaust leak ahead of the sensor are the most common causes on gasoline- and dual-fuel heavy-duty engines with a three-way or oxidation catalyst.|psi_60l_obdhd|https://dtnacontent-dtna.prd.freightliner.com/content/dam/dtna-servicelit/dtna/pdfs/en_us/fccc/engines/6.0L%20OBD%20MT-88%20HD%20Gasoline%20Diagnostic%20Manual%20(pre-released).pdf|266|PSI 6.0L OBD-HD engine diagnostic manual (FCCC chassis)
5396|4239|17|PSI||Engine ECU|Fuel system slightly too rich at idle, bank 2|hde_fuel_trim_bank|SPN 4239 (Fuel trim, bank 2 (lean/rich)) with FMI 17 (Slightly below normal range) is set by the Engine ECU when the bank fuel-trim monitor signal leaves its plausible window or the sensor circuit reads open, shorted or erratic. Typical causes are a failed sensor, corroded connector pins, chafed harness wiring, or a genuine underlying system condition the sensor is correctly reporting.|psi_60l_obdhd|https://dtnacontent-dtna.prd.freightliner.com/content/dam/dtna-servicelit/dtna/pdfs/en_us/fccc/engines/6.0L%20OBD%20MT-88%20HD%20Gasoline%20Diagnostic%20Manual%20(pre-released).pdf|259|PSI 6.0L OBD-HD engine diagnostic manual (FCCC chassis)
5461|108|3|Perkins||Engine ECU|Barometric pressure sensor circuit reads high (shorted to supply)|hde_ambient_pressure_sensor|SPN 108 (Barometric pressure sensor) with FMI 3 (Circuit voltage high / short to supply) is set by the Engine ECU when the ambient/barometric pressure sensor signal leaves its plausible window or the sensor circuit reads open, shorted or erratic. Typical causes are a failed sensor, corroded connector pins, chafed harness wiring, or a genuine underlying system condition the sensor is correctly reporting.|perkins_sebu8601|https://s7d2.scene7.com/is/content/Caterpillar/CM20260911-9f181-9e283|51|SEBU8601-07 1206E-E70TTA industrial engine OMM, Table 3 diagnostic codes
5526|2659|7|Perkins||Engine ECU|EGR flow does not match the expected temperature response (valve mechanically stuck or misadjusted)|hda_egr_cooler|SPN 2659 (EGR flow/temperature mismatch) with FMI 7 (Mechanical part not reacting or misadjusted) is set by the Engine ECU when the pressure differential across the EGR circuit (or the fresh-air temperature downstream of the EGR cooler) is implausible or high. A fouled or internally leaking EGR cooler, a plugged EGR orifice, or a genuine differential pressure sensor fault are the usual causes.|perkins_sebu8601|https://s7d2.scene7.com/is/content/Caterpillar/CM20260911-9f181-9e283|55|SEBU8601-07 1206E-E70TTA industrial engine OMM, Table 3 diagnostic codes
5591|3837|18|Perkins||Engine ECU|Parameter 3837: value reading moderately below the normal range|hde_unidentified_circuit_fault|SPN 3837 (Parameter 3837 (role not stated by the OEM tables)) is a Perkins-specific parameter with no plain-language description in the source OEM tables; FMI 18 (Moderately below normal range) reported by the Engine ECU indicates a circuit-type electrical fault (open, short or out-of-range voltage) on whatever sensor or actuator this parameter represents. Diagnose it as a wiring/connector fault using the OEM pin-out for this SPN rather than assuming a specific component.|perkins_sebu8601|https://s7d2.scene7.com/is/content/Caterpillar/CM20260911-9f181-9e283|55|SEBU8601-07 1206E-E70TTA industrial engine OMM, Table 3 diagnostic codes
5656|705|5|WABCO||ABS/ESC|Pneumatic governor valve (3/2-way) circuit: open, current too low|hdb_auxiliary_output_solenoid_circuit|SPN 705 (Auxiliary I/O channel 5) with FMI 5 (Current too low; open circuit) is set by the ABS/ESC on a configurable auxiliary output driver -- wired at the factory to a differential lock, transfer case, trailer, or a general-purpose 3/2 valve solenoid -- when that output circuit reads shorted to voltage or ground, open, or does not match its parameter-set configuration. Diagnosis follows the wiring for whichever solenoid the output is assigned to on this vehicle.|wabco_mm1719|https://www.zf.com/products/media/automotive/cv/literature_downloads_wna/truck_solutions/abs_maintenance_manuals_/MM1719_web.pdf|22|MM1719 mBSP ABS/ESC maintenance manual (08.2018)
5721|791|12|WABCO|5+4|ABS/ESC|Wheel-speed sensor frequency too high; check for corroded or damaged wiring (drive axle left)|hdb_wheel_speed_sensor_circuit|SPN 791 (Wheel speed sensor, drive axle left) with FMI 12 (Smart device or component defective) is set by the ABS/ESC when a wheel-speed sensor circuit reads open, shorted to voltage or ground, or the sensor no longer reports as a valid device to the ECU. Typical causes are a broken or corroded sensor connector, a chafed harness near the axle or suspension travel, a failed sensor coil, or a wiring short at the ECU pin.|wabco_mm0112|https://www.zf.com/products/media/automotive/cv/literature_downloads_wna/truck_solutions/abs_maintenance_manuals_/MM0112_web.pdf|98|MM0112 ABS/ESC E-version maintenance manual (05.2020)
5786|794|11|WABCO|5+5|ABS/ESC|Abnormal wheel-speed signal; check sensor spring clip and mounting block (additional axle right)|hdb_wheel_speed_signal_erratic|SPN 794 (Wheel speed sensor, additional axle right) with FMI 11 (Fault detected, cause undetermined) is set by the ABS/ESC when a wheel-speed signal is plausible in amplitude but behaves erratically -- chattering, jumping, arriving at the wrong update rate, or disagreeing with the other wheels on the axle, including a sensor pair wired in reverse or an output too low at drive-off. Typical causes are a damaged or debris-packed tone ring, a loose sensor, mismatched tire sizes on an axle, or a mis-wired sensor after a service.|wabco_mm0112|https://www.zf.com/products/media/automotive/cv/literature_downloads_wna/truck_solutions/abs_maintenance_manuals_/MM0112_web.pdf|104|MM0112 ABS/ESC E-version maintenance manual (05.2020)
5851|1068|13|WABCO||ABS/ESC|Brake demand sensor, secondary circuit: FBV wiring fault (interruption or short) suspected|hdb_brake_demand_sensor_circuit|SPN 1068 (Brake demand sensor, secondary circuit) with FMI 13 (Calibration data outside limits) is set by the ABS/ESC when the dual-channel brake demand (foot/treadle valve) sensor that reports how hard the driver is braking reads an implausible offset, an open primary or secondary circuit, or has not completed its calibration. This is the sensor at the brake pedal or treadle valve, not a wheel sensor.|wabco_mm1719|https://www.zf.com/products/media/automotive/cv/literature_downloads_wna/truck_solutions/abs_maintenance_manuals_/MM1719_web.pdf|33|MM1719 mBSP ABS/ESC maintenance manual (08.2018)
5916|520247|31|WABCO||ABS/ESC|Steering angle parameter external timeout fault: routine timed out during EOL execution|hdb_esc_configuration_end_of_line|SPN 520247 (Steering angle parameter external timeout fault) with FMI 31 (Fault present; no further detail) is set by the ABS/ESC when the vehicle's end-of-line (EOL) configuration -- the number and type of wheel-speed sensors and modulators, the ESC enable/disable setting, or a steering-angle learning parameter -- no longer matches what is wired on the truck. This follows a component swap, an ECU replacement, or a parameter reset and needs a dealer-level diagnostic tool, not a parts fix.|wabco_mm1719|https://www.zf.com/products/media/automotive/cv/literature_downloads_wna/truck_solutions/abs_maintenance_manuals_/MM1719_web.pdf|39|MM1719 mBSP ABS/ESC maintenance manual (08.2018)
